,Scan,v / (V/s),sqrt[v / (V/s)],Ep / V,ip / A
0,2,0.175,0.4183300132670378,0.065,0.02424
1,3,0.175,0.4183300132670378,0.072,0.0247
2,4,0.175,0.4183300132670378,0.072,0.0247
3,2,0.15,0.3872983346207417,0.065,0.02236
4,3,0.15,0.3872983346207417,0.065,0.02268
5,4,0.15,0.3872983346207417,0.072,0.02271
6,2,0.3,0.5477225575051661,0.065,0.03253
7,3,0.3,0.5477225575051661,0.065,0.0334
8,4,0.3,0.5477225575051661,0.079,0.0336
9,2,0.1,0.31622776601683794,0.072,0.01791
10,3,0.1,0.31622776601683794,0.079,0.01807
11,4,0.1,0.31622776601683794,0.072,0.01811
12,2,0.2,0.4472135954999579,0.072,0.0268
13,3,0.2,0.4472135954999579,0.072,0.02735
14,4,0.2,0.4472135954999579,0.072,0.02748
