,Scan,v / (V/s),sqrt[v / (V/s)],Ep / V,ip / A,ip / mA
0,1,0.05,0.22360679774997896,-0.3110586,0.00185852,1.85852
1,2,0.05,0.22360679774997896,-0.31967,0.0019376,1.9376
2,3,0.05,0.22360679774997896,-0.3292843,0.00199067,1.99067
3,4,0.05,0.22360679774997896,-0.33356,0.0019904,1.9903999999999997
4,1,0.09,0.3,-0.59845,0.0029205,2.9205
5,2,0.09,0.3,-0.59525,0.00300475,3.00475
6,3,0.09,0.3,-0.5867,0.0030569,3.0569
7,4,0.09,0.3,-0.602725,0.0030868,3.0867999999999998
8,1,0.2,0.4472135954999579,-0.6476,0.0053345,5.3345
9,2,0.2,0.4472135954999579,-0.64973,0.0054626,5.4626
10,3,0.2,0.4472135954999579,-0.64865,0.005484,5.484
11,4,0.2,0.4472135954999579,-0.644378,0.00550232,5.50232
12,1,0.23,0.47958315233127197,-0.339966,0.006662,6.662000000000001
13,2,0.23,0.47958315233127197,-0.3389,0.006688,6.688000000000001
14,3,0.23,0.47958315233127197,-0.334625,0.006781,6.781
15,4,0.23,0.47958315233127197,-0.3303525,0.00680236,6.80236
16,1,0.32,0.565685424949238,-0.3143,0.008432,8.432
17,2,0.32,0.565685424949238,-0.3068,0.008511,8.511
18,3,0.32,0.565685424949238,-0.3101,0.008545,8.545
19,4,0.32,0.565685424949238,-0.3122,0.008548,8.548
20,1,0.5,0.7071067811865476,-0.339,0.011267,11.267
21,2,0.5,0.7071067811865476,-0.3378295,0.01125793,11.25793
22,3,0.5,0.7071067811865476,-0.33675,0.01121825,11.218250000000001
23,4,0.5,0.7071067811865476,-0.335493,0.011203,11.203
